city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,time_since_event,population_density
Samsun,1306536.0,127216,56531,70685,66249,60967,6,134.34817480719795
Tokat,607135.0,48520,18710,29810,27541,20979,6,60.459569806811395
Çorum,523178.0,39983,14660,25323,24883,15100,6,42.09671709044094
Amasya,333211.0,25484,9557,15927,16716,8768,6,59.20593461265103
Trabzon,798147.0,55084,21087,33997,33769,21315,6,172.4604580812446
Ordu,764696.0,53541,19309,34232,36614,16927,6,129.30267162664862
Giresun,448886.0,34145,12165,21980,21179,12966,6,64.38410786001147
Rize,347271.0,23811,8117,15694,13744,10067,6,90.55306388526728
Artvin,173360.0,16107,6518,9589,9553,6554,6,23.449208710942784
Gümüşhane,160861.0,9331,2712,6619,6795,2536,6,24.124325134973006
Erzurum,763687.0,59337,26099,33238,35584,23753,6,30.540150363912662
Erzincan,232795.0,21026,8712,12314,13201,7825,6,19.703343207786713
Bayburt,81714.0,5863,2202,3661,3494,2369,6,21.813667912439936
Ağrı,538903.0,43560,20096,23464,23513,20047,6,48.55419407153798
Kars,287392.0,22454,8370,14084,14539,7915,6,28.195035808888452
Iğdır,196777.0,17943,8454,9489,10038,7905,6,53.70551310043668
Ardahan,98543.0,10004,4439,5565,5907,4097,6,19.972233481961897
Malatya,793202.0,63535,26107,37428,36062,27473,6,64.70364630067705
Elazığ,592756.0,48325,19519,28806,28289,20036,6,63.17339869977619
Bingöl,280935.0,19812,9134,10678,10312,9500,6,35.10371110833437
Tunceli,88011.0,12386,5798,6588,6229,6157,6,11.607887101028751
Van,1120416.0,79903,39196,40707,36796,43107,6,53.55461020027723
Muş,407594.0,24138,11957,12181,11393,12745,6,46.75315439320945
Bitlis,349204.0,26904,12676,14228,13525,13379,6,42.1032071376899
Hakkari,285930.0,27803,14209,13594,13671,14132,6,40.300211416490484
Gaziantep,2012566.0,288040,171423,116617,96719,191321,6,295.83507276201675
Adıyaman,623008.0,36289,15519,20770,19685,16604,6,84.91317977374949
Kilis,141623.0,18241,10110,8131,7789,10452,6,100.29957507082153
Şanlıurfa,2026597.0,164101,82072,82029,76039,88062,6,105.32153622284586
Diyarbakır,1731520.0,223692,122518,101174,96621,127071,6,114.66260512548838
Mardin,826039.0,64708,24759,39949,38189,26519,6,94.08189066059225
Batman,598011.0,62354,35568,26786,30680,31674,6,133.57404511949966
Şırnak,523445.0,51100,25830,25270,26876,24224,6,73.95380050861826
Siirt,330840.0,26118,13289,12829,14142,11976,6,57.86951198180864
İstanbul,14701360.0,2014392,1260971,753421,633517,1380875,7,2692.0637245925654
Tekirdağ,1001879.0,99850,41577,58273,44496,55354,7,161.85444264943456
Edirne,404492.0,45599,18816,26783,23062,22537,7,65.82457282343368
Kırklareli,354493.0,29393,10871,18522,16079,13314,7,54.883573308561694
Balıkesir,1197045.0,124121,55200,68921,58874,65247,7,82.08496194198725
Çanakkale,525865.0,48680,18997,29683,25947,22733,7,53.56677192625038
İzmir,4253602.0,488195,245722,242473,210961,277234,7,357.7160877974939
Aydın,1073522.0,149776,68420,81356,70570,79206,7,132.27230162641695
Denizli,1010932.0,106883,49633,57250,58259,48624,7,83.31399373660788
Muğla,923556.0,118271,48833,69438,61632,56639,7,72.98530109056425
